file_version,subject,condition,session,task_start_time,block,trial,phase,event_name,event_code,wall_clock,t_rel_sec,duration_to_next,rt,value_shown,entered_value,correct,key_name,device,note,json,screen_index,ifi,refresh_hz,pd_used
Alavie_G01_CNS-LLF5HT7Y0,S01,OFFmed_OFFstim,20251121_170144,2025-11-21 17:03:16.798364,NaN,NaN,,START_PAGE_ON,4,2025-11-21 17:03:18.738004,1.891069,0.072233,,,,,,keyboard,,"{""pd_used"":0}",2,0.008333,120.000000,1
Alavie_G01_CNS-LLF5HT7Y0,S01,OFFmed_OFFstim,20251121_170144,2025-11-21 17:03:16.798364,NaN,NaN,,START_PAGE_ON,4,2025-11-21 17:03:18.738004,1.891069,1.281534,,,,,,keyboard,,"{""pd_used"":0}",2,0.008333,120.000000,1
Alavie_G01_CNS-LLF5HT7Y0,S01,OFFmed_OFFstim,20251121_170144,2025-11-21 17:03:16.798364,NaN,NaN,,START_PAGE_ON,4,2025-11-21 17:03:18.738004,1.891069,1.641235,,,,,,keyboard,,"{""pd_used"":0}",2,0.008333,120.000000,1
Alavie_G01_CNS-LLF5HT7Y0,S01,OFFmed_OFFstim,20251121_170144,2025-11-21 17:03:16.798364,NaN,NaN,,SESSION_START,1,2025-11-21 17:03:20.329304,3.532304,0.023451,,,,,,keyboard,,{},2,0.008333,120.000000,1
Alavie_G01_CNS-LLF5HT7Y0,S01,OFFmed_OFFstim,20251121_170144,2025-11-21 17:03:16.798364,1,NaN,,BLOCK_START,10,2025-11-21 17:03:20.355484,3.555755,0.055848,,,,,,keyboard,,{},2,0.008333,120.000000,1
Alavie_G01_CNS-LLF5HT7Y0,S01,OFFmed_OFFstim,20251121_170144,2025-11-21 17:03:16.798364,1,1,,TRIAL_CHANGE,22,2025-11-21 17:03:20.407445,3.611603,0.008736,,,,,,keyboard,trial transition,"{""note"":""trial transition""}",2,0.008333,120.000000,1
Alavie_G01_CNS-LLF5HT7Y0,S01,OFFmed_OFFstim,20251121_170144,2025-11-21 17:03:16.798364,1,1,,TRIAL_START,20,2025-11-21 17:03:20.416212,3.620339,0.055625,,,,,,keyboard,,{},2,0.008333,120.000000,1
Alavie_G01_CNS-LLF5HT7Y0,S01,OFFmed_OFFstim,20251121_170144,2025-11-21 17:03:16.798364,1,1,fix1,FIX1_ON,30,2025-11-21 17:03:20.516060,3.675964,3.285000,,,,,,keyboard,,"{""pd_used"":0}",2,0.008333,120.000000,1
Alavie_G01_CNS-LLF5HT7Y0,S01,OFFmed_OFFstim,20251121_170144,2025-11-21 17:03:16.798364,1,1,fix1,FIX1_OFF,31,2025-11-21 17:03:23.800156,6.960964,0.077408,,,,,,keyboard,,"{""pd_used"":0}",2,0.008333,120.000000,1
Alavie_G01_CNS-LLF5HT7Y0,S01,OFFmed_OFFstim,20251121_170144,2025-11-21 17:03:16.798364,1,1,digit,DIGIT1_ON,141,2025-11-21 17:03:23.877053,7.038372,0.555465,,5,,,,keyboard,digit#1 shown,"{""value"":5,""note"":""digit#1 shown"",""pd_used"":1}",2,0.008333,120.000000,1
Alavie_G01_CNS-LLF5HT7Y0,S01,OFFmed_OFFstim,20251121_170144,2025-11-21 17:03:16.798364,1,1,digit,DIGIT1_OFF,146,2025-11-21 17:03:24.431725,7.593837,0.000000,,5,,,,keyboard,digit#1 off,"{""value"":5,""note"":""digit#1 off"",""pd_used"":0}",2,0.008333,120.000000,1
Alavie_G01_CNS-LLF5HT7Y0,S01,OFFmed_OFFstim,20251121_170144,2025-11-21 17:03:16.798364,1,1,digit,POSTDIG_FIX1_ON,151,2025-11-21 17:03:24.435479,7.593837,1.641174,,,,,,keyboard,after digit#1,"{""note"":""after digit#1""}",2,0.008333,120.000000,1
Alavie_G01_CNS-LLF5HT7Y0,S01,OFFmed_OFFstim,20251121_170144,2025-11-21 17:03:16.798364,1,1,digit,POSTDIG_FIX1_OFF,156,2025-11-21 17:03:26.073699,9.235011,0.053231,,,,,,keyboard,after digit#1,"{""note"":""after digit#1"",""pd_used"":0}",2,0.008333,120.000000,1
Alavie_G01_CNS-LLF5HT7Y0,S01,OFFmed_OFFstim,20251121_170144,2025-11-21 17:03:16.798364,1,1,digit,DIGIT2_ON,142,2025-11-21 17:03:26.126179,9.288242,0.552410,,4,,,,keyboard,digit#2 shown,"{""value"":4,""note"":""digit#2 shown"",""pd_used"":1}",2,0.008333,120.000000,1
Alavie_G01_CNS-LLF5HT7Y0,S01,OFFmed_OFFstim,20251121_170144,2025-11-21 17:03:16.798364,1,1,digit,DIGIT2_OFF,147,2025-11-21 17:03:26.679523,9.840652,0.000000,,4,,,,keyboard,digit#2 off,"{""value"":4,""note"":""digit#2 off"",""pd_used"":0}",2,0.008333,120.000000,1
Alavie_G01_CNS-LLF5HT7Y0,S01,OFFmed_OFFstim,20251121_170144,2025-11-21 17:03:16.798364,1,1,digit,POSTDIG_FIX2_ON,152,2025-11-21 17:03:26.682035,9.840652,1.948180,,,,,,keyboard,after digit#2,"{""note"":""after digit#2""}",2,0.008333,120.000000,1
Alavie_G01_CNS-LLF5HT7Y0,S01,OFFmed_OFFstim,20251121_170144,2025-11-21 17:03:16.798364,1,1,digit,POSTDIG_FIX2_OFF,157,2025-11-21 17:03:28.629475,11.788832,0.057144,,,,,,keyboard,after digit#2,"{""note"":""after digit#2"",""pd_used"":0}",2,0.008333,120.000000,1
Alavie_G01_CNS-LLF5HT7Y0,S01,OFFmed_OFFstim,20251121_170144,2025-11-21 17:03:16.798364,1,1,digit,DIGIT3_ON,143,2025-11-21 17:03:28.685406,11.845976,0.557152,,8,,,,keyboard,digit#3 shown,"{""value"":8,""note"":""digit#3 shown"",""pd_used"":1}",2,0.008333,120.000000,1
Alavie_G01_CNS-LLF5HT7Y0,S01,OFFmed_OFFstim,20251121_170144,2025-11-21 17:03:16.798364,1,1,digit,DIGIT3_OFF,148,2025-11-21 17:03:29.242865,12.403128,0.000000,,8,,,,keyboard,digit#3 off,"{""value"":8,""note"":""digit#3 off"",""pd_used"":0}",2,0.008333,120.000000,1
Alavie_G01_CNS-LLF5HT7Y0,S01,OFFmed_OFFstim,20251121_170144,2025-11-21 17:03:16.798364,1,1,digit,POSTDIG_FIX3_ON,153,2025-11-21 17:03:29.245009,12.403128,1.783610,,,,,,keyboard,after digit#3,"{""note"":""after digit#3""}",2,0.008333,120.000000,1
Alavie_G01_CNS-LLF5HT7Y0,S01,OFFmed_OFFstim,20251121_170144,2025-11-21 17:03:16.798364,1,1,digit,POSTDIG_FIX3_OFF,158,2025-11-21 17:03:31.027068,14.186738,0.056268,,,,,,keyboard,after digit#3,"{""note"":""after digit#3"",""pd_used"":0}",2,0.008333,120.000000,1
Alavie_G01_CNS-LLF5HT7Y0,S01,OFFmed_OFFstim,20251121_170144,2025-11-21 17:03:16.798364,1,1,digit,DIGIT4_ON,144,2025-11-21 17:03:31.083361,14.243006,0.559712,,5,,,,keyboard,digit#4 shown,"{""value"":5,""note"":""digit#4 shown"",""pd_used"":1}",2,0.008333,120.000000,1
Alavie_G01_CNS-LLF5HT7Y0,S01,OFFmed_OFFstim,20251121_170144,2025-11-21 17:03:16.798364,1,1,digit,DIGIT4_OFF,149,2025-11-21 17:03:31.643695,14.802718,0.000000,,5,,,,keyboard,digit#4 off,"{""value"":5,""note"":""digit#4 off"",""pd_used"":0}",2,0.008333,120.000000,1
Alavie_G01_CNS-LLF5HT7Y0,S01,OFFmed_OFFstim,20251121_170144,2025-11-21 17:03:16.798364,1,1,digit,POSTDIG_FIX4_ON,154,2025-11-21 17:03:31.646381,14.802718,1.574099,,,,,,keyboard,after digit#4,"{""note"":""after digit#4""}",2,0.008333,120.000000,1
