file_version,subject,condition,session,task_start_time,block,trial,phase,event_name,event_code,wall_clock,t_rel_sec,duration_to_next,rt,value_shown,entered_value,correct,key_name,device,note,json,screen_index,ifi,refresh_hz,pd_used
Sergio_G01_CNS-LLF5HT7Y0,S01,OFFmed_OFFstim,20260205_132933,2026-02-05 13:29:44.808291,NaN,NaN,,MIC_NOISEFLOOR,6,2026-02-05 13:29:52.648839,7.826837,5.824728,,,,,,keyboard,,{},2,NaN,NaN,1
Sergio_G01_CNS-LLF5HT7Y0,S01,OFFmed_OFFstim,20260205_132933,2026-02-05 13:29:44.808291,NaN,NaN,,MIC_REC_SPEECH,7,2026-02-05 13:29:58.461760,13.651566,6.819637,,,,,,keyboard,,{},2,NaN,NaN,1
Sergio_G01_CNS-LLF5HT7Y0,S01,OFFmed_OFFstim,20260205_132933,2026-02-05 13:29:44.808291,NaN,NaN,,SESSION_START,1,2026-02-05 13:30:17.445733,32.632458,0.009820,,,,,,keyboard,,{},2,0.016667,60.000000,1
Sergio_G01_CNS-LLF5HT7Y0,S01,OFFmed_OFFstim,20260205_132933,2026-02-05 13:29:44.808291,NaN,NaN,,BLOCK_START,10,2026-02-05 13:30:17.452641,32.642278,0.078962,,,,,,keyboard,,{},2,0.016667,60.000000,1
Sergio_G01_CNS-LLF5HT7Y0,S01,OFFmed_OFFstim,20260205_132933,2026-02-05 13:29:44.808291,NaN,0,reading,START_PAGE_ON,4,2026-02-05 13:30:17.571663,32.721240,0.064549,,,,,,keyboard,,"{""pd_used"":0}",2,0.016667,60.000000,1
Sergio_G01_CNS-LLF5HT7Y0,S01,OFFmed_OFFstim,20260205_132933,2026-02-05 13:29:44.808291,NaN,0,reading,START_PAGE_ON,4,2026-02-05 13:30:17.571663,32.721240,1.187393,,,,,,keyboard,,"{""pd_used"":0}",2,0.016667,60.000000,1
Sergio_G01_CNS-LLF5HT7Y0,S01,OFFmed_OFFstim,20260205_132933,2026-02-05 13:29:44.808291,NaN,0,reading,START_PAGE_ON,4,2026-02-05 13:30:17.571663,32.721240,1.553459,,,,,,keyboard,,"{""pd_used"":0}",2,0.016667,60.000000,1
Sergio_G01_CNS-LLF5HT7Y0,S01,OFFmed_OFFstim,20260205_132933,2026-02-05 13:29:44.808291,NaN,0,reading,READING_START,23,2026-02-05 13:30:19.083435,34.274699,0.085065,,,,,,keyboard,,{},2,0.016667,60.000000,1
Sergio_G01_CNS-LLF5HT7Y0,S01,OFFmed_OFFstim,20260205_132933,2026-02-05 13:29:44.808291,NaN,0,reading,DIGIT_READ1_ON,101,2026-02-05 13:30:19.210462,34.359764,2.857468,,6,,,,keyboard,digit#1 shown,"{""value"":6,""note"":""digit#1 shown"",""pd_used"":1}",2,0.016667,60.000000,1
Sergio_G01_CNS-LLF5HT7Y0,S01,OFFmed_OFFstim,20260205_132933,2026-02-05 13:29:44.808291,NaN,0,reading,PROBE_COUNT_OK_1,71,2026-02-05 13:30:24.079021,37.217232,2.111665,4.527041,slot#1,NaN,,,keyboard,probe_digit#1,"{""value"":""slot#1"",""entered"":null,""rt"":4.5270413000002918,""note"":""probe_digit#1""}",2,0.016667,60.000000,1
